msa_id,NAME,type,estimate,count,percap
30460,"Lexington-Fayette, KY",Metro Area,500689,55,1.1
30860,"Logan, UT-ID",Metro Area,133408,5,0.37
25220,"Hammond, LA",Metro Area,128850,36,2.79
24580,"Green Bay, WI",Metro Area,315847,23,0.73
40140,"Riverside-San Bernardino-Ontario, CA",Metro Area,4476222,145,0.32
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro Area,5700990,550,0.96
35980,"Norwich-New London, CT",Metro Area,270772,17,0.63
47460,"Walla Walla, WA",Metro Area,63861,2,0.31
36980,"Owensboro, KY",Metro Area,117319,37,3.15
48300,"Wenatchee, WA",Metro Area,115723,2,0.17
28700,"Kingsport-Bristol-Bristol, TN-VA",Metro Area,306745,75,2.45
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro Area,6090196,177,0.29
28140,"Kansas City, MO-KS",Metro Area,2088830,199,0.95
